Acacias,Mimosa,Wattle,Acacia,Mimosas,Wattles
Achilleas,Yarrow,Achillea,Yarrows
Aconitum,Monkshood,Wolf's Bane,Wolfsbane,Devil's Helmet
African Boxwoods,African Boxwood
Agapanthus,African Lily,Lily of the Nile
Ageratum,Floss Flower
Alliums,Ornamental Onion,Flowering Onion,Allium
Alstroemeria,Peruvian Lily,Inca Lily,Ulster Mary,Peruvian Lilies,Inca Lilies
Amaranthus,Pigweed,Pigweeds
Amaryllis
Anemones,Windflower,Anemone,Windflowers
Kangaroo Paws,Anigozanthos,Kangaroo Paw
Asters,Aster
Astilbe,False Goat's Beard,False Spirea
Astrantia,Great Masterwort
Cornflowers,Bachelor's Button,Cornflower,Centaurea Montana
Balloon Flowers,Balloon Flower,Chinese Bellflower
Banksia
Bottlebrush,Bottlebrushes
Bee Balm,Bergamot,Monad
Bellflowers,Campanula,Canterbury Bells,Chimney Bells,Bellflower
Bighead knapweed
Billy Balls,Billy Buttons,Craspedia,Drumstick,Billy Button
Blazing Star,Liatris,Gayfeather,Button Snakeroot
Blue Lace Flower
Boronias,Boronia
Bouvardias,Bouvardia
Boxwoods,Boxwood
Brodiaea
Broom
Buckthorns,Buckthorn
Buddleia,Butterfly Bush
Buttercups,Buttercup
Marigolds,Calendula,Marigold
Calla Lilies,Calla Lily,Zantedeschia
Candytuft,Iberis
Carthamus,Safflower
Caspia,Limonium,Statice,Sea Lavender
Brain Flowers,Celosias,Brain Celosia,Cockscomb,Celosia,Brain Flower
Cestrum
Waxflowers,Chamelaucium,Waxflower
China Aster,Callistephus
Chincherinchee,Star of Bethlehem,Ornithogalum
Chrysanthemums,Chrysanthemum
Clarkia,Godetia,Farewell-to-Spring
Cyclamens,Cyclamen
Columbines,Columbine
Black-eyed Susan,Coneflower,Rudbeckia,,Coneflowers
Convallaria,Lily of the Valley
Cordylines,Cordyline
Cosmos
Curcuma,Curcumas
Curly Willows,Corkscrew Willow,Dragon's Claw,Curly Willow,Corkscrew Willows
Daffodils,Narcissus,Jonquil,Daffodil
Dahlias,Dahlia
Daisies,Daisy
Dill
Dragon's Tongue,Dragon's Breath
Dusty Miller,Silver Ragwort
Eucalyptus
Eustoma,Lisianthus,Texas Bluebell
False Bird of Paradise,Heliconia,Lobster Claws
Feverfews,Feverfew
Flamingo Flower,Anthurium,Tailflower,Painter's Palette
Flax
Flowering Cherries,Flowering Cherry
Forget-Me-Nots,Forget-Me-Not,Myosotis
Forsythia
Foxgloves,Foxglove,Digitalis
Freesia,Freesias
